onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	1.392	FIXA	1543.66617	1216.89362	1551.39881	1234.28059	0.271	3.550	0.238	0.390
1.406	0.059	SACC	1551.82060	1236.12589	1493.15952	1148.33497	1.508	72.166	18.756	26.945
1.465	0.029	HPSO	1493.15952	1148.33497	1447.07539	1108.40741	0.871	54.715	32.142	29.750
1.495	0.184	PURS	1447.07539	1108.40741	1372.25522	1047.69961	1.376	63.922	1.862	8.181
1.679	0.044	FIXA	1372.25522	1047.69961	1371.89593	1049.67863	0.029	3.468	0.163	0.689
1.723	0.272	PURS	1371.70873	1050.53963	1380.79680	1095.71999	0.658	8.544	1.925	2.575
1.995	0.022	SACC	1382.39556	1095.71999	1383.44173	1012.34712	1.191	127.663	34.155	54.973
2.017	0.029	HPSO	1383.44173	1012.34712	1387.73333	999.03002	0.200	23.840	2.271	7.096
2.047	0.317	PURS	1387.89053	973.65922	1414.45022	885.58933	1.314	58.584	4.302	9.737
2.364	0.015	SACC	1418.32502	891.77593	1420.86854	897.04016	0.084	14.163	12.753	12.753
2.378	0.037	FIXA	1421.30612	897.80791	1426.62201	906.88973	0.150	9.827	1.715	4.443
2.415	0.228	PURS	1426.62201	910.39813	1462.57308	956.11128	0.831	13.858	1.981	4.084
2.643	0.118	FIXA	1461.37449	955.86644	1459.28771	960.58247	0.074	4.582	0.520	1.461
2.761	0.258	PURS	1459.28771	960.73460	1478.69617	992.90218	0.537	5.662	1.177	2.160
3.019	0.552	FIXA	1478.69617	992.90218	1469.49744	1024.50628	0.470	5.048	0.675	1.188
3.571	0.162	SACC	1466.72761	1026.34619	1865.95827	914.33767	5.924	138.582	40.641	48.912
3.733	0.029	HPSO	1865.95827	914.33767	1882.36019	997.72356	1.214	143.965	12.864	42.423
3.763	0.052	FIXA	1882.36019	998.18760	1944.79181	916.29960	1.471	191.840	6.582	47.624
3.814	0.037	SACC	1963.41672	916.29960	2011.76142	857.68733	1.085	88.053	36.136	40.792
3.851	0.096	FIXA	2011.76142	857.68733	2040.63311	925.45767	1.052	46.353	9.665	13.524
3.947	0.015	SACC	2040.63311	916.45317	2034.96501	884.72270	0.460	62.537	40.004	40.004
3.961	0.066	PURS	2034.96501	884.72270	2013.53681	886.89722	0.308	19.143	6.169	7.916
4.028	0.022	SACC	2008.36121	892.40482	1991.48634	894.33179	0.243	18.336	14.663	15.872
4.050	0.361	PURS	1991.48634	894.33179	1824.04248	912.08410	2.405	18.567	4.310	7.042
4.410	0.029	SACC	1819.57127	912.08410	1805.57646	893.55945	0.332	45.590	5.162	14.318
4.440	0.037	FIXA	1805.17058	892.78108	1792.35805	874.86423	0.315	27.839	2.185	9.067
4.477	0.714	PURS	1785.77018	871.06108	1674.69434	879.30864	1.591	14.759	0.913	2.473
5.191	1.259	FIXA	1674.69434	879.13480	1668.10179	828.02273	0.736	4.704	0.544	0.783
6.450	0.110	SACC	1665.54081	824.45131	1718.02982	1065.72895	3.527	89.190	12.905	32.769
6.561	0.029	HPSO	1718.02982	1065.72895	1724.50746	1120.45555	0.787	56.161	25.602	26.841
6.590	1.016	PURS	1724.99824	1124.75464	1625.47514	1077.85966	1.572	60.862	3.415	5.532
7.606	0.015	SACC	1621.18883	1071.00195	1615.21370	1059.09281	0.190	25.851	20.771	20.771
7.621	0.169	FIXA	1615.21370	1059.09281	1589.91494	1009.50227	0.795	13.021	2.567	4.770
7.790	0.029	SACC	1587.66238	1003.90819	1605.27157	1047.35896	0.670	51.849	25.690	25.807
7.820	0.029	LPSO	1605.27157	1047.35896	1612.46671	1075.46928	0.415	49.204	3.550	14.076
7.879	0.022	SACC	1642.91642	1142.48648	1650.88551	1180.72551	0.558	58.794	33.020	36.336
