onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.043	FIXA	1566.38959	932.90493	1572.93542	929.18246	0.178	54.711	20.181	24.089
0.058	0.133	SACC	1571.55975	931.19431	2261.53118	1131.47674	23.948	344.610	187.086	187.017
0.190	0.145	FIXA	2262.60107	1130.51405	2272.66210	1153.48978	0.836	57.405	10.010	12.914
0.440	0.038	SACC	2419.87349	1087.23559	2457.18836	1106.37042	1.582	248.515	130.117	117.147
0.478	0.018	HPSO	2457.76889	1103.95445	2461.22495	1074.77760	0.979	81.342	63.237	60.685
0.495	0.545	FIXA	2461.28563	1074.67309	2437.87026	1071.04951	0.790	309.994	4.844	11.982
1.155	0.250	PURS	2125.04052	1245.89315	2075.07598	1223.51094	1.772	68.502	7.436	12.251
1.406	0.045	SACC	2072.33003	1222.82112	2293.08513	1258.10493	7.452	297.233	179.699	168.343
1.451	0.018	HPSO	2295.67813	1261.27517	2331.61143	1274.34975	1.275	112.277	84.303	80.713
1.468	0.208	PURS	2332.73112	1275.39836	2250.91835	1271.56634	2.730	59.378	17.010	16.507
1.676	0.030	SACC	2251.94407	1274.06572	2397.93916	1384.24358	6.097	325.551	208.007	206.343
1.706	0.018	LPSO	2400.42721	1386.22012	2420.02500	1405.36721	0.913	82.121	61.403	58.312
1.723	0.230	PURS	2420.61519	1405.73569	2349.10190	1379.49685	2.539	29.753	13.584	13.590
1.953	0.018	SACC	2346.20912	1377.80689	2310.38515	1354.39023	1.427	122.067	92.224	88.440
1.971	0.140	FIXA	2311.68882	1352.93783	2290.81551	1344.02992	0.756	78.778	8.762	11.249
2.111	0.035	SACC	2293.72851	1342.78710	2495.61868	1160.55343	9.066	408.924	264.348	262.758
2.146	0.020	LPSO	2496.22472	1156.82587	2514.03595	1130.64575	1.055	81.617	60.507	60.692
2.166	0.300	PURS	2512.96989	1128.65726	2215.05274	1158.37521	9.980	389.525	19.792	45.701
2.576	0.320	PURS	1988.89190	1182.90817	2000.92063	1171.94016	0.545	58.631	6.890	10.025
3.001	0.063	FIXA	2060.80239	1188.43777	2060.19205	1163.26230	0.776	84.067	16.229	23.833
3.064	0.175	PURS	2059.97063	1163.26043	2084.59378	1171.24439	0.863	21.337	7.553	7.867
