onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.188	FIXA	2042.56643	1161.90839	2044.07462	1171.75011	0.325	15.096	5.987	6.785
0.203	0.298	PURS	2043.95014	1171.96722	2042.20749	1176.22693	0.153	23.916	7.368	8.488
0.500	0.025	SACC	2042.86672	1177.72373	2028.92670	1121.84203	1.920	160.715	85.445	88.667
0.525	0.013	LPSO	2028.78456	1121.63143	2027.16805	1112.23785	0.318	41.576	26.411	26.088
0.538	0.868	FIXA	2026.91334	1111.51244	2026.00224	1118.03085	0.219	27.140	4.099	6.109
1.406	0.255	PURS	2025.99128	1117.90675	2024.04870	1125.88476	0.274	25.826	4.467	6.296
1.661	0.015	SACC	2023.63774	1123.49099	2021.83040	1113.42209	0.341	37.486	31.910	28.145
1.676	0.073	FIXA	2021.86204	1113.42656	2027.11601	1125.93158	0.452	28.741	10.742	11.059
1.748	0.013	SACC	2026.74293	1123.16397	2027.04801	1112.41442	0.358	38.985	37.222	36.147
1.761	0.110	FIXA	2026.97457	1111.10877	2024.98924	1112.79092	0.087	27.087	12.185	12.620
1.871	0.023	SACC	2024.77241	1110.10931	2021.79617	1092.47011	0.596	49.951	33.390	30.637
1.893	0.235	FIXA	2021.29236	1092.36327	2021.93823	1098.58085	0.208	64.378	8.890	13.683
2.128	0.020	SACC	2022.18200	1101.67082	2026.10578	1118.72652	0.583	59.878	37.135	34.648
2.148	0.143	FIXA	2026.24551	1118.83282	2026.87658	1104.52742	0.477	35.078	8.092	11.459
2.291	0.013	SACC	2027.13240	1107.07894	2028.15024	1114.00075	0.233	34.179	29.298	25.693
2.303	0.058	FIXA	2028.55571	1114.57050	2020.49911	1111.89574	0.283	32.377	11.518	14.485
2.361	0.013	SACC	2019.90449	1109.42023	2019.28795	1100.83341	0.287	38.417	33.933	29.917
2.373	0.128	FIXA	2018.78390	1100.46379	2019.98921	1099.18145	0.059	25.259	10.496	11.288
2.501	0.195	PURS	2019.50531	1098.90155	2023.23874	1109.05361	0.361	17.336	6.242	6.931
2.696	0.120	FIXA	2023.45201	1108.61200	2026.25065	1109.81125	0.101	13.586	5.844	5.866
2.816	0.180	PURS	2026.39724	1109.83978	2025.68516	1119.88664	0.336	20.170	4.833	6.632
2.996	0.675	FIXA	2025.86814	1119.99243	2023.62851	1120.72767	0.079	23.879	4.827	6.236
3.671	0.188	PURS	2023.69972	1120.61470	2022.54623	1103.61652	0.568	29.873	9.139	9.779
3.859	0.050	FIXA	2022.58163	1105.37993	2020.33245	1115.99744	0.362	28.343	10.995	12.388
3.909	0.013	SACC	2020.57005	1114.70004	2022.38159	1106.46221	0.281	34.809	27.538	26.015
3.921	0.888	FIXA	2022.59787	1106.33002	2019.41022	1090.70675	0.532	30.828	3.424	5.115
4.809	0.133	PURS	2019.37778	1090.61099	2019.67874	1083.97045	0.222	9.148	3.054	3.447
4.942	0.348	FIXA	2019.80994	1084.14091	2022.33793	1088.28271	0.162	23.239	3.910	5.241
5.289	0.175	PURS	2022.37926	1088.20645	2023.00663	1102.77259	0.486	21.170	3.769	5.092
5.464	0.020	SACC	2021.94472	1101.80166	2018.20512	1090.45287	0.398	33.346	22.257	22.391
5.484	0.130	FIXA	2018.17074	1090.46058	2018.95058	1083.15850	0.245	24.344	5.480	7.015
5.615	0.028	SACC	2017.96833	1083.60698	2036.89081	1075.91202	0.681	70.954	42.128	40.740
5.642	0.030	LPSO	2037.61966	1075.50440	2046.33555	1076.18039	0.291	22.298	14.131	14.988
5.672	0.053	FIXA	2046.30007	1076.18877	2046.59372	1067.65575	0.285	23.904	4.178	7.473
5.725	0.035	SACC	2047.19464	1068.37939	2026.26703	1084.40461	0.879	53.840	36.292	36.648
5.760	0.010	LPSO	2025.42173	1083.71883	2022.80196	1081.49475	0.115	17.684	15.549	15.197
