onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.330	FIXA	1987.37989	1138.37291	1986.20462	1149.11330	0.350	16.412	4.438	5.540
0.345	0.030	SACC	1986.78478	1149.73577	1966.16201	1261.36377	3.784	363.696	87.787	139.618
0.375	0.015	HPSO	1965.56858	1261.75869	1965.39817	1251.79881	0.332	112.827	12.881	30.061
0.390	0.125	FIXA	1965.67868	1252.25017	1972.88326	1256.97667	0.287	10.577	4.428	4.445
0.515	0.165	PURS	1972.93651	1256.90809	1975.04860	1249.44396	0.259	10.300	2.247	3.292
0.680	0.045	FIXA	1975.29116	1249.48831	1974.92979	1251.09661	0.055	7.673	4.315	4.133
0.725	0.023	ISAC	1974.73821	1251.86509	1978.18684	1236.64574	0.520	42.453	27.491	25.148
0.748	0.880	FIXA	1978.23752	1236.04204	1984.53545	1229.44444	0.304	14.251	3.003	3.597
1.628	0.203	PURS	1984.28312	1229.14885	1979.16768	1220.72999	0.328	15.696	5.232	5.582
1.831	0.148	FIXA	1979.02942	1221.22683	1980.05981	1218.76685	0.089	13.029	4.521	4.859
1.978	0.075	SACC	1979.70912	1217.77021	1967.21763	1288.85667	2.406	371.479	55.868	100.974
2.091	0.118	SACC	1966.64780	1397.58522	1992.10087	1244.40080	4.339	552.357	166.773	193.827
2.208	0.120	FIXA	1992.18675	1244.36189	1986.87113	1234.52873	0.373	24.320	4.794	6.539
2.328	0.043	SACC	1986.95684	1234.80379	1980.73526	1221.95499	0.476	60.118	19.575	22.373
2.371	0.920	FIXA	1980.57573	1221.92266	1986.36946	1215.51947	0.288	17.679	2.708	3.406
3.291	0.348	PURS	1986.42930	1215.55909	1996.21650	1171.80938	1.494	20.229	4.896	5.816
3.639	0.018	ISAC	1996.57476	1170.74812	1999.17943	1159.69377	0.379	32.918	25.033	23.877
3.656	0.020	ILPS	1998.95420	1158.69779	1999.37931	1151.18631	0.251	18.046	15.176	14.818
3.676	0.038	FIXA	1999.58061	1150.36295	1999.44878	1136.30915	0.468	19.945	13.705	13.394
3.714	0.303	PURS	1999.43519	1135.62299	2007.63068	1091.42200	1.498	14.258	5.091	5.455
4.016	0.218	FIXA	2007.63003	1091.31955	2005.78091	1097.06829	0.201	12.746	2.505	3.128
4.234	0.105	SACC	2005.04525	1097.68647	2018.88591	1110.57674	0.630	476.334	64.486	105.579
4.339	0.208	PURS	2018.90620	1111.01963	2008.55854	1055.41853	1.885	71.693	6.131	12.519
4.547	0.345	FIXA	2008.78872	1055.20835	2010.63100	1064.85533	0.327	14.489	4.203	4.561
4.892	0.185	PURS	2010.42689	1065.04284	2010.61552	1057.24984	0.260	35.608	8.845	10.202
5.077	0.465	FIXA	2010.49829	1057.34615	2000.38184	1048.12432	0.456	31.192	5.099	6.610
5.542	0.075	SACC	1999.26731	1048.00467	2009.31282	1068.09093	0.749	185.219	76.754	87.781
5.617	0.038	FIXA	2009.24908	1069.25911	2013.97965	1044.73916	0.832	52.757	22.307	24.461
5.655	0.123	PURS	2013.04290	1043.78344	2007.09418	1033.55556	0.394	35.256	5.819	8.703
5.777	0.623	FIXA	2007.16333	1034.03934	2004.06731	1031.92431	0.125	7.544	2.095	2.474
6.400	0.255	PURS	2004.11520	1031.78534	1996.79390	1015.70367	0.589	16.493	3.578	4.567
6.655	0.223	FIXA	1996.74441	1015.41757	1998.11760	1017.74160	0.090	12.919	3.521	4.166
6.877	0.133	SACC	1997.16078	1017.96987	2012.92482	1026.09402	0.591	431.264	142.831	152.966
7.010	0.178	FIXA	2013.09172	1025.84825	2001.46808	1000.04172	0.943	83.760	4.169	9.960
7.188	0.303	PURS	2001.69015	1000.03587	2001.30277	1008.90595	0.296	15.647	3.295	3.902
7.490	0.408	FIXA	2001.52751	1008.74613	2000.26045	1009.89828	0.057	26.882	4.763	6.000
7.898	0.155	PURS	2000.13044	1010.32901	1994.55821	1016.12957	0.268	13.553	4.052	4.568
8.053	0.358	FIXA	1994.87682	1016.47068	1999.31614	1018.54567	0.163	10.865	3.219	3.485
8.411	0.345	PURS	1999.09676	1018.75088	1997.84400	1001.77053	0.568	21.992	5.174	6.162
8.756	0.168	FIXA	1997.84132	1001.34472	1993.56552	1010.74399	0.344	17.097	5.675	7.128
8.923	0.108	SACC	1992.59382	1011.82842	2030.07143	1086.85346	2.795	314.189	80.754	97.540
9.031	0.035	HPSO	2031.01874	1087.24730	2003.50878	1050.94405	1.518	161.032	50.889	59.829
9.066	0.125	FIXA	2004.58976	1047.86747	1999.48254	1031.57068	0.569	43.693	5.346	10.835
9.191	0.213	PURS	1999.64750	1031.97291	1998.44330	1047.08850	0.505	7.517	2.480	2.921
9.403	0.213	FIXA	1998.42853	1047.36010	1995.80482	1055.15626	0.274	8.152	1.357	1.876
9.616	0.148	PURS	1995.31138	1055.15776	1991.04968	1043.99646	0.398	13.840	4.857	5.494
9.764	0.623	FIXA	1990.82583	1044.18802	1989.98993	1061.80001	0.588	12.134	2.543	3.174
10.386	0.243	PURS	1990.09644	1061.74635	1984.95204	1074.70857	0.465	9.151	2.213	2.772
10.629	0.443	FIXA	1984.84687	1074.77940	1980.70246	1080.28278	0.230	9.059	2.934	3.092
11.072	0.190	PURS	1980.59975	1080.52729	1980.12671	1096.25109	0.524	13.896	3.744	4.311
11.262	0.038	SACC	1979.81886	1095.96890	1982.35051	1142.24048	1.545	91.014	40.118	46.219
11.299	0.030	LPSO	1983.06971	1142.94791	1986.00653	1150.84565	0.281	21.094	10.832	11.500
11.329	0.050	FIXA	1985.72677	1150.71531	1981.50147	1141.45197	0.339	28.626	8.868	11.671
11.379	0.023	SACC	1980.81030	1141.76094	1988.15028	1117.74943	0.837	71.687	35.428	38.931
11.402	0.035	HPSO	1987.62603	1117.71758	1975.05471	1117.22319	0.419	43.948	15.847	17.335
11.437	0.175	FIXA	1974.64980	1113.44607	1970.84907	1106.81786	0.255	54.590	2.820	6.384
11.612	0.208	PURS	1970.78983	1106.67528	1963.30593	1217.17794	3.692	232.604	5.559	27.700
11.849	0.148	SACC	1971.38942	1333.12579	1991.06422	1176.56512	5.770	470.124	135.516	168.137
11.997	0.035	HPSO	1990.80358	1176.13383	1990.65364	1143.96348	1.072	59.239	33.320	32.737
12.032	0.170	FIXA	1990.57289	1142.30355	1976.95110	1127.84028	0.662	49.283	3.449	7.861
12.202	0.315	PURS	1977.00835	1127.91899	1976.89777	1148.81213	0.696	28.005	3.046	5.010
12.517	0.168	FIXA	1976.93774	1148.79755	1980.04663	1152.94821	0.173	11.476	2.728	3.234
12.685	0.593	PURS	1980.11269	1152.52995	1977.71206	1250.14242	3.255	91.905	6.586	9.780
13.277	0.045	SACC	1978.65356	1247.22920	1950.72471	1243.50866	0.939	291.729	139.653	138.942
