onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.133	FIXA	1934.37196	1645.76347	1902.87151	1688.09589	1.509	273.577	72.075	88.201
0.148	0.015	SACC	1900.33101	1667.91209	1917.31163	1475.93126	6.424	617.946	495.025	475.752
0.163	0.090	FIXA	1919.08386	1473.98940	1901.70941	1624.22103	5.041	387.982	141.522	152.752
0.253	0.010	SACC	1894.61660	1637.41817	1897.41279	1697.35398	2.000	297.676	253.962	251.294
0.263	0.068	FIXA	1901.03165	1693.25041	1878.49046	1678.90060	0.891	310.500	110.683	134.539
0.330	0.010	SACC	1886.91958	1651.21594	1903.83815	1597.39630	1.881	385.494	312.519	284.255
0.340	0.040	FIXA	1901.95270	1601.01545	1909.88012	1560.99016	1.360	432.631	133.484	168.507
0.380	0.010	SACC	1916.51355	1577.04270	1950.50602	1641.17499	2.419	445.173	261.170	299.720
0.390	0.043	FIXA	1948.29848	1640.89295	1901.98912	1573.76241	2.718	258.793	134.846	119.218
0.433	0.010	SACC	1904.59421	1599.31296	1912.54398	1667.90763	2.302	504.244	323.838	315.513
0.443	0.098	FIXA	1911.15286	1663.83214	1903.08437	1653.21572	0.444	240.729	57.364	74.736
0.541	0.008	SACC	1904.13076	1631.91632	1904.15150	1614.46634	0.582	284.065	167.764	172.171
0.548	0.043	FIXA	1902.82124	1615.38812	1906.31929	1648.55351	1.112	321.105	137.851	138.560
0.591	0.013	SACC	1903.33165	1623.55671	1908.48688	1557.00761	2.225	335.345	226.691	245.299
0.666	0.008	SACC	1899.71021	1630.92497	1891.00143	1616.79908	0.553	181.156	132.650	134.211
0.708	0.083	FIXA	1897.05506	1660.88991	1904.57246	1755.01379	3.160	874.716	80.413	130.196
0.791	0.013	SACC	1903.63448	1726.03219	1900.32743	1624.54530	3.385	716.506	386.258	436.169
0.803	0.075	FIXA	1899.64833	1615.50190	1899.28070	1587.91071	0.920	250.382	84.161	88.798
0.878	0.010	SACC	1903.73776	1599.06405	1928.49891	1664.25094	2.324	476.533	236.914	272.399
0.888	0.010	LPSO	1926.97651	1663.54604	1899.99382	1601.69704	2.249	381.544	258.773	230.359
0.898	0.160	PURS	1897.69008	1595.69505	1931.23972	1526.64912	2.559	161.580	24.912	40.834
1.059	0.008	SACC	1941.08735	1536.27254	1960.71252	1546.43377	0.737	190.119	183.413	161.112
1.066	0.113	FIXA	1964.56052	1543.30736	1931.85351	1491.51469	2.042	151.669	52.424	59.987
1.179	0.015	ISAC	1933.29460	1494.74373	1949.12406	1529.68175	1.279	136.130	99.925	93.028
1.194	0.125	FIXA	1948.59937	1527.67580	1955.68899	1478.44413	1.658	94.793	27.573	35.029
1.319	0.010	ISAC	1957.05705	1483.00988	1965.63949	1500.35609	0.645	141.084	74.813	81.818
1.329	0.010	ILPS	1966.46727	1498.88676	1962.70138	1480.12411	0.638	100.548	77.315	69.411
1.339	0.118	FIXA	1962.44386	1479.12412	1980.83284	1490.05999	0.713	117.819	21.532	30.350
