onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.408	FIXA	2024.27072	871.44376	2019.65999	879.78417	0.310	22.728	5.032	5.997
0.423	0.080	SACC	2019.77895	880.14127	2002.81701	1345.76362	15.531	414.254	202.405	199.967
0.503	0.123	FIXA	2002.70310	1345.98945	1994.64159	1343.28829	0.283	22.606	7.085	7.903
0.625	0.023	SACC	1993.43085	1344.44650	2027.73977	1301.46421	1.833	163.952	92.872	85.531
0.648	0.005	HPSO	2028.70390	1301.74240	2026.88304	1304.98007	0.124	49.493	31.432	31.432
0.653	0.143	FIXA	2026.72256	1305.47082	2023.69013	1295.83898	0.337	18.907	6.496	6.868
0.796	0.138	PURS	2023.68731	1295.71915	2022.25247	1286.50167	0.311	21.908	4.040	5.584
0.933	0.255	FIXA	2022.47756	1286.88739	2023.76724	1289.58196	0.100	17.878	2.912	4.234
1.188	0.195	PURS	2023.80659	1289.56420	2021.08258	1280.07153	0.329	15.860	2.598	3.387
1.383	1.001	FIXA	2021.06176	1280.14963	1992.16210	1292.49392	1.048	144.338	3.801	6.611
2.449	0.043	SACC	2038.87479	1341.75473	2035.07603	1244.88454	2.771	194.347	115.395	112.283
2.492	0.033	HPSO	2033.50524	1244.46831	2027.08778	1202.12155	1.428	101.079	54.571	51.478
2.524	0.233	PURS	2027.78066	1201.46695	2082.66296	1206.02605	1.836	60.907	11.857	14.482
2.757	0.018	SACC	2083.77684	1202.95962	2057.41180	1294.65773	3.180	280.833	215.836	188.150
2.935	0.053	SACC	2038.31045	1331.02926	2024.21331	1272.89710	0.832	464.553	113.831	149.014
2.987	0.023	LPSO	2024.54265	1272.98465	2016.12739	1278.16442	0.329	26.614	16.091	17.022
3.010	0.173	FIXA	2015.85545	1278.31766	2012.16572	1276.99259	0.131	12.342	2.924	3.304
3.182	0.410	PURS	2012.19435	1276.95677	2019.96275	1267.62685	0.405	18.021	2.309	3.354
3.593	0.640	FIXA	2019.88920	1267.65409	2021.03062	1281.77733	0.472	18.837	2.221	3.344
4.233	0.240	PURS	2021.47097	1280.78546	2011.31427	1270.64786	0.478	14.460	3.523	4.221
4.473	0.025	ISAC	2011.93785	1271.01463	2019.62087	1280.23352	0.400	23.356	17.982	17.455
4.498	0.218	FIXA	2019.73076	1280.52215	2026.79454	1288.14362	0.346	7.921	2.567	2.785
4.716	0.038	ISAC	2026.38926	1287.62661	2019.28622	1293.40619	0.305	26.785	15.091	13.955
4.753	0.120	FIXA	2019.26658	1293.41072	2018.90489	1294.25570	0.031	24.792	5.945	7.156
4.873	0.018	ISAC	2018.83338	1295.14477	2024.48154	1305.48821	0.393	32.067	25.239	24.826
4.891	0.035	IHPS	2024.68839	1305.59556	2023.46251	1306.52725	0.051	29.833	15.701	16.067
4.926	0.095	FIXA	2024.16741	1307.26170	2019.48809	1313.39875	0.257	29.582	13.957	13.507
5.021	0.013	ISAC	2019.72910	1312.54208	2021.55763	1303.49288	0.308	37.361	25.892	27.017
5.034	0.093	FIXA	2021.29700	1302.82355	2033.26438	1319.42133	0.682	58.930	16.438	18.219
5.311	0.053	SACC	2034.46776	1338.28063	2030.76943	1229.85152	3.616	288.185	166.737	176.904
5.364	0.078	FIXA	2030.59498	1231.53592	2042.38561	1243.37218	0.557	210.967	64.240	76.160
5.441	0.010	SACC	2045.38712	1235.06161	2055.44349	1201.11656	1.180	218.786	132.710	147.451
5.451	0.063	FIXA	2054.29609	1204.60752	2046.91238	1236.26571	1.084	107.249	61.833	59.286
5.514	0.020	SACC	2044.97338	1249.06379	2056.76773	1203.60323	1.566	346.279	200.321	223.888
5.534	0.123	FIXA	2055.11580	1203.12733	2046.04579	1164.87181	1.311	398.758	65.761	76.481
5.656	0.035	SACC	2042.55058	1192.73882	2047.00618	1198.44869	0.241	374.210	183.976	200.975
5.691	0.040	FIXA	2047.35107	1197.48972	2046.49544	1214.11998	0.555	338.195	178.983	173.387
5.731	0.013	SACC	2059.07345	1228.44568	2076.02882	1276.78266	1.707	254.008	200.053	192.083
5.744	0.070	FIXA	2070.97641	1278.49327	2088.10747	1284.73009	0.608	419.844	135.727	144.747
5.814	0.015	SACC	2079.93417	1266.71815	2037.31315	1187.46036	3.000	467.478	278.181	277.604
5.829	0.050	FIXA	2038.21627	1189.36442	2067.45074	1260.00154	2.548	245.875	104.019	114.806
5.879	0.038	SACC	2058.61812	1262.24903	2033.07150	1208.49331	1.984	479.140	225.042	265.462
5.917	0.090	FIXA	2028.93963	1209.08223	2037.94780	1184.98767	0.857	490.454	192.707	193.048
6.007	0.050	SACC	2040.85057	1200.28678	2038.48724	1222.15588	0.733	481.199	214.340	242.707
6.057	0.050	FIXA	2039.37069	1223.98940	2048.23999	1312.47778	2.964	274.139	169.225	156.551
6.107	0.023	SACC	2054.55071	1313.29173	2055.55214	1242.24207	2.369	188.019	138.817	129.087
6.129	0.045	FIXA	2055.50729	1242.21206	2052.75167	1247.78964	0.207	129.208	34.593	48.517
6.174	0.015	SACC	2054.96124	1257.10323	2085.22798	1318.38828	2.278	260.216	163.579	179.149
6.189	0.110	FIXA	2085.65041	1318.58469	2100.68313	1342.99027	0.955	242.372	84.525	86.766
6.299	0.020	SACC	2091.94901	1344.07284	2066.12550	1284.86530	2.153	261.781	159.917	171.998
6.319	0.075	FIXA	2065.06577	1283.82669	2044.20941	1477.03170	6.478	288.843	105.547	124.029
6.394	0.040	SACC	2038.38667	1462.31923	2046.36232	1362.54406	3.336	469.136	253.120	258.537
6.482	0.053	FIXA	2028.26735	1389.89226	1991.82084	1386.53105	1.542	755.989	340.712	341.230
6.535	0.065	SACC	1995.08823	1400.80940	2038.62443	1441.09877	1.977	472.090	236.472	248.105
6.600	0.043	FIXA	2038.08280	1438.06660	2064.24358	1411.17972	1.250	775.490	271.229	307.885
6.672	0.123	PURS	2053.94223	1455.22773	2034.07362	1441.78962	1.217	842.036	282.131	312.906
8.086	0.045	FIXA	2804.76204	-50.74138	2754.46966	88.16982	17.142	681.608	106.942	263.846
10.027	0.058	FIXA	2383.49001	373.38801	2390.00991	414.31206	1.068	720.025	72.608	99.896
10.085	0.013	SACC	2390.05432	407.39092	2380.69559	363.61386	1.492	194.294	152.092	137.946
10.367	0.040	FIXA	2409.20577	259.90710	2311.69463	797.35397	18.686	758.071	114.355	184.051
11.298	0.095	FIXA	2273.65597	633.84764	2412.10990	292.64778	13.962	979.539	686.548	737.666
11.488	0.050	FIXA	2348.79715	301.72176	2333.04361	549.65837	8.076	990.488	771.094	646.999
11.628	0.040	FIXA	2402.17109	253.47756	2385.63246	284.28727	0.587	265.306	26.925	55.840
13.052	0.078	FIXA	1916.57020	1418.16482	2194.81060	799.84070	22.536	918.049	18.843	152.216
13.159	0.055	FIXA	1951.86559	1352.28049	2307.51560	893.91792	21.964	435.523	95.326	137.268
13.249	0.095	PURS	1978.19210	1280.33014	2540.20096	-39.24113	0.220	766.411	323.471	379.738
14.035	0.060	FIXA	1933.73418	1282.35760	1948.39215	1215.69954	1.715	412.492	122.084	171.291
14.095	0.030	SACC	1939.91609	1221.93754	1903.37659	1278.79957	2.253	256.038	71.837	101.044
14.125	0.235	FIXA	1903.39533	1278.86129	1926.15570	1295.10118	0.932	162.215	14.391	21.647
14.360	0.013	SACC	1920.05069	1292.92746	1953.35483	1288.16862	1.121	170.882	86.346	108.237
14.373	0.035	LPSO	1955.73958	1287.45049	1944.06503	1297.07868	0.504	157.407	46.887	66.013
14.408	0.053	FIXA	1947.07952	1299.63929	1949.43315	1290.07697	0.328	52.700	22.215	21.642
14.460	0.018	SACC	1947.28828	1294.71229	1951.89569	1252.45191	1.417	132.125	100.069	91.144
14.478	0.008	LPSO	1950.87656	1252.75455	1948.28493	1260.04525	0.258	87.695	15.520	39.127
14.485	0.075	FIXA	1948.64493	1259.68022	1949.55680	1216.84282	1.428	73.445	42.818	39.710
14.560	0.023	SACC	1950.49706	1212.19265	1948.15140	1247.91247	1.193	100.995	78.487	62.496
14.583	0.118	FIXA	1948.03503	1247.80827	1948.43723	1231.82898	0.533	32.792	8.720	11.081
14.700	0.020	ISAC	1948.15516	1233.54987	1947.55936	1243.87197	0.345	47.271	19.690	21.188
14.720	0.075	FIXA	1947.68283	1243.71376	1949.83550	1250.80811	0.247	13.832	6.064	6.388
14.795	0.035	ISAC	1950.03108	1250.02043	1926.81097	1239.56047	0.849	72.897	27.786	35.435
14.830	0.055	FIXA	1926.73741	1239.65900	1925.67846	1246.75795	0.239	16.816	3.293	5.574
14.885	0.018	ISAC	1925.39895	1245.19984	1921.94283	1263.69733	0.627	63.409	36.207	38.968
14.903	0.005	ILPS	1921.52240	1264.12955	1921.26498	1262.25506	0.063	25.210	16.622	16.622
14.908	0.058	FIXA	1920.84660	1262.20099	1920.21751	1262.35009	0.022	12.502	7.053	6.412
14.965	0.140	PURS	1920.07438	1262.84232	1918.13883	1280.53020	0.593	31.830	8.399	9.342
15.106	0.078	FIXA	1918.30444	1277.59645	1919.70278	1267.60242	0.336	39.152	2.473	7.298
15.183	0.015	ISAC	1919.83376	1267.79778	1918.80233	1252.64325	0.506	99.355	40.306	46.605
15.198	0.010	IHPS	1918.55833	1251.73891	1919.66176	1264.39529	0.423	90.914	39.283	45.490
15.208	0.143	FIXA	1920.20924	1265.56815	1921.44097	1255.13716	0.350	36.141	5.243	6.900
15.351	0.203	PURS	1921.39538	1254.88105	1935.69976	1250.82254	0.496	26.995	5.817	7.245
15.553	0.015	ISAC	1935.78494	1252.33097	1938.51689	1270.12688	0.600	56.642	46.622	43.366
15.568	0.008	ILPS	1938.70668	1270.21074	1938.52602	1266.64452	0.119	33.584	14.002	16.783
15.576	0.170	FIXA	1938.43085	1265.83807	1947.61916	1265.84791	0.306	53.896	9.412	11.546
15.746	0.013	ISAC	1947.94401	1267.48393	1946.63286	1281.63966	0.474	62.472	42.255	42.366
